imdbid	rating	year	id	title	metacritic_score
0004972	2	1915	1258	Birth of a Nation, The	NA
0279914	3	1916	2014	Lady Windermere&#39;s Fan	NA
0007507	0	1916	5368	Vagabond, The	NA
0007361	3	1916	7004	Snow White	NA
0006864	0	1916	5944	Intolerance: Love&#39;s Struggle Throughout the Ages	99
0006745	3	1916	2008	Gretchen the Greenhorn	NA
0008652	3	1917	1981	A Tale of Two Cities	NA
0008489	2	1917	2019	Raffles, the Amateur Cracksman	NA
0008443	3	1917	1994	Poor Little Rich Girl, The	NA
0008519	0	1917	2015	A Romance of the Redwoods	NA
0008499	3	1917	1993	Rebecca of Sunnybrook Farm	NA
0009682	3	1918	1996	Tarzan of the Apes	NA
0008844	0	1918	5441	Are Crooks Dishonest?	NA
0010281	3	1918	7108	Ich mochte kein Mann sein	NA
0009652	3	1918	2007	Stella Maris	NA
0009968	0	1919	2588	Broken Blossoms or The Yellow Man and the Girl	NA
0010879	3	1919	2018	When the Clouds Roll by	NA
0011870	3	1920	5948	Within Our Gates	NA
0011588	3	1920	1991	Pollyanna	NA
0010323	0	1920	1306	Cabinet of Dr. Caligari, The	NA
0012532	3	1921	1263	Orphans of the Storm	NA
0011979	3	1921	4204	Blot, The	NA
0012349	0	1921	3945	Kid, The	NA
0012364	2	1921	5898	K&ouml;rkarlen (The Phantom Carriage)	NA
0013496	2	1922	1631	Phantom, The	NA
0013428	2	1922	1778	Nathan der Weise	NA
0012543	0	1922	5361	Paleface, The	NA
0013086	3	1922	5967	Dr. Mabuse, der Spieler - Ein Bild der Zeit	NA
0013140	3	1922	5958	Foolish Wives	NA
0013442	2	1922	1307	Nosferatu, eine Symphonie des Grauens	NA
0013367	1	1922	2001	Man from Beyond, The	NA
0013257	3	1922	3800	H&auml;xan: Witchcraft Through the Ages	NA
0013427	1	1922	5901	Nanook of the North	NA
0014341	0	1923	5949	Our Hospitality	NA
0014611	0	1923	1967	Why Worry?	NA
0014469	2	1923	1998	Silent Command, The	NA
0014624	2	1923	8947	A Woman of Paris	NA
0013626	3	1923	5888	La souriante Madame Beudet	NA
0014429	0	1923	1961	Safety Last!	NA
1764657	0	1924	2413	Great White Silence, The	NA
0015498	0	1924	1960	Wild Oranges	NA
0015175	2	1924	1337	Die Nibelungen	NA
0015116	3	1924	2020	Manhandled	NA
0015163	0	1924	2009	Navigator, The	NA
0014945	0	1924	2016	Girl Shy	NA
0015881	3	1924	8458	Greed	NA
0015400	0	1924	1264	Thief of Bagdad, The	NA
0015324	0	1924	2011	Sherlock Jr.	NA
0015174	2	1924	1338	Kriemhild&#39;s Revenge	NA
0013845	0	1924	6209	Help!	NA
0015864	0	1925	1309	Gold Rush, The	NA
0015863	0	1925	1978	Go West	NA
0016220	2	1925	1305	Phantom of the Opera, The	NA
0015648	0	1925	1308	Battleship Potemkin	97
0015624	2	1925	5962	Big Parade, The	NA
0016332	0	1925	3077	Seven Chances	NA
0015841	0	1925	2012	Freshman, The	NA
0015361	0	1925	5991	Stachka	NA
0016039	2	1925	5514	Lost World, The	NA
0017449	1	1926	1334	Temptress, The	NA
0016895	0	1926	1966	For Heaven&#39;s Sake	NA
0015532	1	1926	5974	Die Abenteuer des Prinzen Achmed	NA
0017410	3	1926	3217	So&#39;s Your Old Man	NA
0017925	0	1926	1310	General, The	NA
0016884	1	1926	1260	Flesh and the Devil	NA
0018199	0	1927	1982	Nevada	NA
0018051	0	1927	1964	Kid Brother, The	NA
0018183	3	1927	2010	My Best Girl	NA
0018033	3	1927	1227	It	NA
0018192	2	1927	1312	Abel Gance&#39;s Napoleon	NA
0018037	1	1927	5975	Jazz Singer, The	66
0018528	0	1927	1311	Unknown, The	NA
0018455	2	1927	1632	Sunrise: A Song of Two Humans	NA
0017136	1	1927	1267	Metropolis	98
0017825	1	1927	7324	Downhill [When Boys Leave Home]	NA
0018578	1	1927	3118	Wings	NA
0019130	2	1928	2021	Man Who Laughs, The	NA
0019421	0	1928	1971	Steamboat Bill, Jr.	NA
0018806	1	1928	5912	Crowd, The	NA
0019571	2	1928	2017	While the City Sleeps	NA
0019258	3	1928	2013	Patsy, The	NA
0019412	0	1928	1963	Speedy	NA
0018742	0	1928	1970	Cameraman, The	NA
0018684	0	1928	1977	Beggars of Life	NA
0018937	0	1928	1980	A Girl in Every Port	NA
0019254	0	1928	1314	Passion of Joan of Arc, The	NA
0018839	2	1928	5984	Docks of New York, The	NA
0019237	2	1928	9314	Our Dancing Daughters	NA
0019304	0	1928	1972	Racket, The	NA
0019290	1	1928	1979	Power of the Press, The	NA
0018773	0	1928	1968	Circus, The	90
0019760	0	1929	3897	Man with a Movie Camera	NA
0019702	2	1929	5979	Blackmail	NA
0019777	2	1929	1953	Cocoanuts, The	69
0020286	0	1929	6046	Throw of the Dice	NA
0021015	3	1929	7287	Juno and the Paycock [The Shame of Mary Boyle]	NA
0020572	0	1929	1962	Welcome Danger	NA
0018737	3	1929	2324	Pandora&#39;s Box (Die B&uuml;chse der Pandora)	NA
0019729	3	1929	8464	Broadway Melody	NA
0020530	0	1929	1313	Un chien andalou	NA
0021040	3	1930	3713	Ladies of Leisure	NA
0020629	0	1930	1316	All Quiet on the Western Front	91
0021577	0	1930	3871	L&#39;Age d&#39;Or	NA
0020640	3	1930	8463	Animal Crackers	77
0021156	1	1930	3865	Morocco	NA
0020641	3	1930	1326	Anna Christie	NA
0020697	1	1930	1315	Blue Angel, The	88
0020670	2	1930	4253	Be Yourself	NA
0021165	3	1930	7291	Murder!	NA
0020668	3	1930	6782	Bat Whispers, The	NA
0021148	3	1930	3927	Min and Bill	NA
0020642	3	1931	1327	Anna Christie	NA
0022000	3	1931	1828	Indiscreet	NA
0021746	3	1931	8467	Cimarron	70
0021079	1	1931	6043	Little Caesar	NA
0022183	3	1931	628	M&auml;dchen in Uniform	NA
0021814	2	1931	1985	Dracula	71
0021815	3	1931	8213	Dracula	NA
0022599	1	1931	6031	A Nous la Liberte	NA
0022100	3	1931	610	M	NA
0023395	2	1931	7296	Rich and Strange [East of Shanghai]	NA
0022286	3	1931	5934	Public Enemy, The	NA
0022251	0	1931	1974	Pardon Us	NA
0022054	0	1931	1956	Last Flight, The	NA
0023196	3	1931	1333	Mata Hari	NA
0021985	1	1931	8557	Hyppolit a lakaj	NA
0021739	3	1931	6030	La Chienne	NA
0022458	0	1931	1633	Tabu: A Story of the South Seas	NA
0021730	1	1931	9110	Champ, The	NA
0021735	3	1931	5741	Cheat, The	NA
0021749	3	1931	2705	City Lights	99
0022397	3	1931	9095	Skippy	NA
0022074	2	1931	4243	Smiling Lieutenant, The	NA
0022395	3	1931	7294	Skin Game, The	NA
0021884	1	1931	1317	Frankenstein	91
0022158	1	1931	2384	Monkey Business	74
0022208	3	1931	636	Night Nurse	NA
0022940	2	1932	5783	Girl from Calgary, The	NA
0022694	1	1932	6990	Blue Light (Das Blaue Licht), The	NA
0023590	3	1932	6051	Three on a Match	NA
0023027	1	1932	2383	Horse Feathers	83
0023582	3	1932	6852	Thirteen Women	NA
0023213	3	1932	5742	Merrily We Go to Hell	NA
0023694	0	1932	2550	White Zombie	NA
0024188	1	1932	3844	Island of Lost Souls	NA
0022913	2	1932	3659	Freaks	80
0023634	1	1932	3530	I Was Born, But...	91
0023042	1	1932	1318	I Am a Fugitive from a Chain Gang	NA
0023935	1	1932	6176	Death Kiss, The	NA
0023458	3	1932	5929	Shanghai Express	83
0022718	1	1932	2767	Boudu Saved from Drowning	NA
0023649	3	1932	5910	Vampyr	NA
0023238	0	1932	3658	Most Dangerous Game, The	NA
0022614	2	1932	1983	Age of Consent, The	NA
0022958	3	1932	1328	Grand Hotel	NA
0023427	1	1932	6063	Scarface	87
0023293	3	1932	4775	Old Dark House, The	NA
0023285	0	1932	7301	Number 17	NA
0023158	2	1932	6052	Love Me Tonight	NA
0023385	3	1932	6092	Red-Headed Woman	NA
0024069	3	1933	5916	Gold Diggers of 1933	NA
0023969	1	1933	5185	Duck Soup	93
0024432	0	1933	6205	Peanut Vendor, The	NA
0024034	3	1933	4335	42nd Street	83
0024625	3	1933	6193	A Study in Scarlet	NA
0024481	3	1933	1330	Queen Christina	NA
0024727	3	1933	3210	Vampire Bat, The	NA
0024216	0	1933	2229	King Kong	90
0024473	1	1933	1248	Private Life of Henry VIII., The	NA
0023940	1	1933	8346	Design for Living	NA
0024679	3	1933	5752	Tomorrow at Seven	NA
0023753	3	1933	3188	Alice in Wonderland	54
0024264	3	1933	2231	Little Women	92
0024008	3	1933	6056	Female	NA
0024184	1	1933	7450	Invisible Man, The	87
0024028	3	1933	802	Footlight Parade	80
0023876	3	1933	8477	Cavalcade	NA
0023932	3	1933	5029	Day of Reckoning	NA
0023775	3	1933	7528	Baby Face	NA
0025452	3	1934	7304	Man Who Knew Too Much, The	NA
0024991	1	1934	1270	Cleopatra	NA
0025316	3	1934	621	It Happened One Night	87
0025822	3	1934	4443	Spitfire	NA
0024844	0	1934	1795	L&#39;atalante	NA
0025465	3	1934	4702	Maniac	NA
0025424	2	1934	5523	Lost in the Stratosphere	NA
0025301	3	1934	7999	Imitation of Life	72
0025617	1	1934	1329	Painted Veil, The	NA
0025746	3	1934	1325	Scarlet Empress, The	NA
0025755	3	1934	5821	Search for Beauty	NA
0025423	0	1934	1969	Lost Patrol, The	NA
0025586	1	1934	1379	Of Human Bondage	NA
0025091	3	1934	6772	Evelyn Prentice	NA
0025004	1	1934	1246	Count of Monte Cristo, The	NA
0025543	0	1934	8653	Mystery Liner	NA
0024961	1	1934	1324	Cat&#39;s-Paw, The	NA
0024831	3	1934	5319	Anne of Green Gables	NA
0026599	2	1935	5750	Lady in Scarlet, The	NA
0026942	3	1935	2362	Roberta	66
0026768	3	1935	1685	Naughty Marietta	NA
0026778	1	1935	3881	A Night At The Opera	NA
0027125	2	1935	595	Top Hat	92
0026071	2	1935	1261	Anna Karenina	NA
0026663	2	1935	7998	Mad Love	NA
0026752	1	1935	1361	Mutiny on the Bounty	87
0026667	3	1935	2756	Magnificent Obsession	NA
0026138	3	1935	3891	Bride of Frankenstein, The	95
0026939	2	1935	5913	Riverside Murder, The	NA
0026029	3	1935	1242	39 Steps, The	93
0027752	3	1936	3560	Only Son, The	NA
0027652	2	1936	6096	Fury	NA
0028505	2	1936	1360	Wife vs. Secretary	NA
0027977	0	1936	1323	Modern Times	96
0028333	1	1936	596	Swing Time	91
0027407	3	1936	4143	Bullets or Ballots	NA
0028174	0	1936	2554	Revolt of the Zombies	NA
0027996	3	1936	1992	Mr. Deeds Goes to Town	NA
0028000	3	1936	6174	Murder at Glen Athol	NA
0028212	3	1936	5926	Sabotage	85
0027562	1	1936	2699	Earthworm Tractors	NA
0028216	1	1936	1359	San Francisco	NA
0028092	3	1936	4010	Pennies from Heaven	NA
0028355	3	1936	3280	Theodora Goes Wild	NA
0027698	3	1936	3401	Great Ziegfeld, The	NA
0027438	1	1936	1237	Charge of the Light Brigade, The	NA
0027545	3	1936	7992	Dracula&#39;s Daughter	NA
0029207	3	1936	3548	Mandarin Mystery, The	NA
0028010	2	1936	5852	My Man Godfrey	82
0028096	3	1936	1369	Petrified Forest, The	NA
0028356	2	1936	7227	These Three	NA
0028021	3	1936	2853	Osaka Elegy	NA
3427056	0	1936	6210	Il caso Valdemar	NA
0027387	3	1936	2363	Born to Dance	NA
0028203	3	1936	4069	Romeo and Juliet	NA
0028231	3	1936	7308	Secret Agent	NA
0028683	3	1936	3598	Camille	NA
0029565	1	1937	5617	Murder at the Baskervilles (Silver Blaze)	NA
0029608	3	1937	795	Stella Dallas	NA
0029217	3	1937	7877	Marked Woman	NA
0029322	0	1937	3968	Nothing Sacred	78
0029604	3	1937	631	Stage Door	NA
0029811	3	1937	7317	Girl Was Young, The	NA
0029087	2	1937	1244	Knight Without Armor	NA
0028772	2	1937	2382	A Day at the Races	NA
0029162	2	1937	1336	Lost Horizon	NA
0029442	1	1937	1240	Prisoner of Zenda, The	NA
0029146	1	1937	8478	Life of Emile Zola, The	NA
0028597	3	1937	6554	Awful Truth, The	87
0029377	2	1937	1358	Parnell	NA
0028739	2	1937	1332	Conquest	NA
0029583	3	1937	1976	Snow White and the Seven Dwarfs	95
0029682	2	1937	1335	Topper	NA
0029453	2	1937	5740	Pepe le Moko	98
0029546	1	1937	597	Shall We Dance	NA
0029192	3	1937	4255	Make Way for Tomorrow	NA
0027552	3	1937	8473	Bizarre, Bizarre	NA
0030287	2	1938	1367	Jezebel	NA
0030473	1	1938	2590	Mr. Wong, Detective	NA
0030044	0	1938	1238	Dawn Patrol, The	NA
0029942	0	1938	2467	Boys Town	NA
0030127	1	1938	6042	Baker&#39;s Wife, The	NA
0030341	3	1938	620	Lady Vanishes, The	NA
0030241	3	1938	994	Holiday	NA
0029929	2	1938	3283	Bluebeard&#39;s Eighth Wife	NA
0030396	3	1938	4495	Mad Miss Manton, The	NA
0029947	3	1938	3400	Bringing Up Baby	91
0029971	2	1938	594	Carefree	NA
0030149	3	1938	3951	Four Daughters	NA
0029843	2	1938	3103	Adventures of Robin Hood, The	97
0029870	1	1938	7290	Angels with Dirty Faces	NA
0030755	2	1938	1378	Sisters, The	NA
0031971	3	1939	593	Stagecoach	93
0031981	2	1939	1385	Story of Alexander Graham Bell, The	NA
0031680	1	1939	2622	Mr. Wong in Chinatown	NA
0031385	2	1939	1245	Goodbye, Mr. Chips	NA
0031725	3	1939	1259	Ninotchka	NA
0031742	1	1939	2851	Of Mice and Men	89
0031210	3	1939	1370	Dark Victory	NA
0031225	3	1939	5634	Destry Rides Again	81
0031060	2	1939	2372	At the Circus	NA
0032138	3	1939	174	Wizard of Oz, The	92
0031252	2	1939	1384	Drums Along the Mohawk	NA
0031066	3	1939	3723	Babes in Arms	NA
0031455	0	1939	2086	Hunchback of Notre Dame, The	NA
0031235	2	1939	383	Dodge City	NA
0031885	3	1939	3089	Rules of the Game, The	NA
0031022	3	1939	5863	Adventures of Sherlock Holmes, The	NA
0031397	0	1939	8511	Gulliver&#39;s Travels	NA
0031709	3	1939	5763	Nancy Drew... Reporter	NA
0032143	3	1939	588	Women, The	NA
0031514	2	1939	8098	Le jour se l&egrave;ve	NA
0031505	3	1939	7322	Jamaica Inn	NA
0031322	0	1939	1973	Flying Deuces, The	NA
0031507	2	1939	1383	Jesse James	NA
0031516	2	1939	1368	Juarez	NA
0031593	3	1939	9038	Love Affair	91
0032145	2	1939	1239	Wuthering Heights	NA
0032155	2	1939	1382	Young Mr. Lincoln	91
0031679	2	1939	5946	Mr. Smith Goes to Washington	73
0031381	3	1939	291	Gone with the Wind	97
0031387	3	1939	2555	Gorilla, The	NA
0031826	2	1939	1371	Essex and Elizabeth	NA
0032484	1	1940	7311	Foreign Correspondent	88
0032904	3	1940	4943	Philadelphia Story, The	96
0033045	3	1940	7861	Shop Around the Corner, The	96
0032273	1	1940	1356	Boom Town	NA
0033021	1	1940	2678	Santa Fe Trail	NA
0032599	3	1940	3033	His Girl Friday	NA
0032983	0	1940	1366	Return of Frank James, The	NA
0032943	3	1940	4257	Pride and Prejudice	84
0032194	2	1940	1373	All This, and Heaven Too	NA
0032701	2	1940	1380	Letter, The	NA
0032349	2	1940	1355	Comrade X	NA
0032551	3	1940	1387	Grapes of Wrath, The	96
0033028	3	1940	3050	Sea Hawk, The	NA
0033152	0	1940	1265	Thief of Bagdad, The	NA
0032406	2	1940	4363	Chamber of Horrors / Door with the Seven Locks	NA
0032811	3	1940	1501	Mortal Storm, The	NA
0032910	1	1940	478	Pinocchio	99
0031359	3	1940	5773	Gaslight	NA
0032455	0	1940	5039	Fantasia	96
0032215	3	1940	2556	Ape, The	NA
0032211	3	1940	5320	Anne Of Windy Poplars	NA
0032376	3	1940	4415	Dance, Girl, Dance	NA
0032946	3	1940	4354	Primrose Path	NA
0033105	0	1940	1357	Strange Cargo	NA
0032553	3	1940	3470	Great Dictator, The	NA
0032676	1	1940	8480	Knute Rockne All American	NA
0032976	3	1940	618	Rebecca	86
0032339	0	1940	1975	A Chump at Oxford	NA
0032690	3	1940	5802	Last Alarm, The	NA
0033928	3	1941	6171	Murder by Invitation	NA
0034241	0	1941	8625	Sun valley serenade	NA
0033467	1	1941	1266	Citizen Kane	100
0033729	3	1941	8983	How Green Was My Valley	NA
0033727	1	1941	1941	Mr. Bug Goes to Town	NA
0033870	1	1941	1230	Maltese Falcon, The	96
0034240	3	1941	4359	Sullivan&#39;s Travels	NA
0034091	3	1941	9025	Reluctant Dragon, The	NA
0034398	2	1941	2436	Wolf Man, The	72
0034248	3	1941	7329	Suspicion	83
0033787	3	1941	9192	King of the Zombies	NA
0033836	2	1941	1372	Little Foxes, The	NA
0034175	3	1941	1512	Shanghai Gesture, The	NA
0033802	1	1941	6318	Ladies In Retirement	NA
0033459	3	1941	2446	Cheers for Miss Bishop	NA
0033804	2	1941	1386	Lady Eve, The	96
0033723	3	1941	2910	Hold That Ghost	NA
0033902	1	1941	2468	Men of Boys Town	NA
0033717	1	1941	2410	High Sierra	NA
0033436	3	1941	2906	Buck Privates	NA
0034328	2	1941	1331	Two-Faced Woman	NA
0033533	3	1941	1682	Devil and Miss Jones, The	NA
0033627	0	1941	2867	49th Parallel	NA
0033891	3	1941	3717	Meet John Doe	NA
0033563	2	1941	1117	Dumbo	96
0035415	2	1942	3875	Tales of Manhattan	NA
0035019	3	1942	681	Major and the Minor, The	73
0035140	3	1942	689	Now, Voyager	70
0034591	0	1942	3789	There Was a Father	NA
0035360	1	1942	1388	Son of Fury: The Story of Benjamin Blake	NA
0034492	1	1942	1116	Bambi	91
0034521	0	1942	3518	Black Dragons	NA
0034613	1	1942	7697	Corpse Vanishes, The	NA
0035446	0	1942	5303	To Be or Not to Be	86
0035317	1	1942	5859	Sherlock Holmes and the Secret Weapon	NA
0034583	1	1942	1076	Casablanca	100
0035567	3	1942	4870	Woman of the Year	NA
0036326	0	1942	7696	Saludos Amigos	60
0034587	3	1942	2708	Cat People	NA
0035015	2	1942	1289	Magnificent Ambersons, The	93
0034882	3	1942	1686	I Married an Angel	NA
0035279	1	1942	5939	Saboteur	64
0034746	3	1942	1675	For Me and My Gal	NA
0033874	3	1942	4475	Man Who Came to Dinner, The	71
0035093	3	1942	6384	Mrs. Miniver	NA
0036230	3	1943	1374	Old Acquaintance	NA
0035753	3	1943	3890	Le Corbeau: The Raven	NA
0035735	3	1943	8501	China	NA
0035881	0	1943	5554	Fires Were Started	NA
0036969	3	1943	6781	Jane Eyre	NA
0036506	3	1943	3753	Day of Wrath	NA
0036342	3	1943	4617	Shadow of a Doubt	94
0035957	0	1943	1988	Guadalcanal Diary	NA
0035160	1	1943	8801	Ossessione	NA
0035942	1	1943	1691	Girl Crazy	84
0035636	3	1943	7834	Angels of Sin	NA
0036112	2	1943	3839	Life and Death of Colonel Blimp, The	NA
0036363	1	1943	1959	Sky&#39;s the Limit, The	NA
0036367	3	1943	6315	So Proudly We Hail!	NA
0035770	3	1943	5209	Cry &#39;Havoc&#39;	NA
0035017	1	1943	7475	La main du diable	NA
0036172	1	1943	7410	More the Merrier, The	NA
0036027	3	1943	1955	I Walked with a Zombie	NA
0036323	0	1943	1987	Sahara	NA
0036418	3	1943	2407	Tender Comrade	NA
0036341	3	1943	8090	Seventh Victim, The	NA
0036515	3	1943	1375	Watch on the Rhine	NA
0036400	0	1943	4699	Judo Saga (Sanshiro Sugata)	NA
0036244	1	1943	6310	Ox-Bow Incident, The	NA
0037415	3	1944	9270	Uninvited, The	NA
0037017	3	1944	5983	Lifeboat	78
0036947	3	1944	4698	Most Beautiful (Ichiban utsukushiku), The	NA
0037469	1	1944	2181	Window in the Window	NA
0036723	3	1944	3134	Cover Girl	NA
0038166	0	1944	6319	Three Caballeros, The	85
0036613	3	1944	201	Arsenic and Old Lace	NA
0037094	2	1944	1376	Mr. Skeffington	NA
0036914	0	1944	2045	Torment	NA
0036775	3	1944	1416	Double Indemnity	95
0036940	3	1944	3279	I&#39;ll Be Seeing You	NA
0037059	3	1944	1676	Meet Me in St. Louis	94
0036695	3	1944	6515	A Canterbury Tale	NA
0036891	2	1944	1683	Hail the Conquering Hero	NA
0037076	1	1944	6420	Minstrel Man	NA
0037382	3	1944	3245	To Have and Have Not	NA
0037008	3	1944	2715	Laura	NA
0037120	3	1944	4222	National Velvet	NA
0037280	3	1944	3154	Since You Went Away	NA
0037843	3	1945	5677	Keep Your Powder Dry	NA
0037365	2	1945	6848	Thin Man Goes Home	NA
0038890	3	1945	4428	Rome, Open City	NA
0038250	3	1945	9005	Wicked Lady, The	NA
0037671	3	1945	2434	Enchanted Cottage, The	NA
0037800	3	1945	1213	I Know Where I&#39;m Going	NA
0037638	1	1945	3999	Detour	NA
0037514	0	1945	6017	Anchors Aweigh	60
0037630	3	1945	7835	Les dames du Bois de Boulogne	NA
0037635	3	1945	7185	Dead of Night	NA
0038924	3	1945	1280	Seventh Veil, The	NA
0038259	3	1945	5856	Woman in Green, The	NA
0037913	3	1945	794	Mildred Pierce	88
0037558	3	1945	1544	Brief Encounter	92
0037954	0	1945	3271	Objective, Burma!	NA
0037674	2	1945	5129	Children of Paradise	96
0038017	1	1945	6945	Red Dragon, The	NA
0038109	3	1945	4252	Spellbound	NA
0038057	3	1945	5081	Scarlet Street	NA
0037508	0	1945	1639	Along Came Jones	NA
0037820	3	1945	2004	Isle of the Dead	NA
0037884	2	1945	3583	Lost Weekend, The	NA
0038733	0	1946	1231	Stairway to Heaven	NA
0038574	2	1946	9182	Great Expectations	90
0039017	1	1946	5872	Terror by Night	NA
0038474	3	1946	1381	Devotion	NA
0038559	0	1946	2809	Gilda	NA
0039112	3	1946	8354	Years Between, The	NA
0038461	0	1946	1377	Deception	NA
0038494	3	1946	4002	Dressed to Kill	NA
0038854	1	1946	1424	Postman Always Rings Twice, The	84
0038718	1	1946	8052	Make Mine Music	60
0038991	3	1946	7671	Stranger, The	76
0038650	3	1946	2235	It&#39;s a Wonderful Life	89
0038990	3	1946	3145	Strange Woman, The	NA
0039054	3	1946	1680	Two Sisters from Boston	NA
0038499	2	1946	4900	Duel in the sun	NA
0036868	2	1946	3982	Best Years of Our Lives, The	93
0038661	1	1946	2654	Jolson Story, The	NA
0038348	3	1946	1268	Beauty and the Beast	92
0038453	1	1946	5961	Dark Corner, The	NA
0038409	1	1946	5497	Chase, The	NA
0038589	3	1946	786	Harvey Girls, The	NA
0038762	1	1946	3783	My Darling Clementine	NA
0038787	2	1946	622	Notorious	100
0038969	2	1946	5646	Song of the South	54
0038355	1	1946	971	Big Sleep, The	NA
0039938	3	1947	8729	Unfinished Dance, The	NA
0039404	1	1947	8053	Fun &amp; Fancy Free	66
0039694	2	1947	2330	Paradine Case, The	NA
0039349	3	1947	2287	Egg and I, The	NA
0039236	2	1947	5779	Calendar Girl	NA
0039819	3	1947	1681	Shocking Miss Pilgrim, The	NA
0039650	3	1947	7432	Nada	NA
0039420	3	1947	3047	Ghost and Mrs. Muir, The	NA
0039689	2	1947	6550	Build My Gallows High	NA
0040525	0	1947	8756	Lady from Shanghai, The	NA
0039324	3	1947	8646	Dishonored Lady	NA
0039441	2	1947	3112	Gunfighters	NA
0039628	3	1947	8989	Miracle on 34th Street	88
0039192	3	1947	1211	Black Narcissus	86
0039431	2	1947	1679	Good News	NA
0039677	2	1947	1278	Odd Man Out	NA
0039286	2	1947	4411	Crossfire	NA
0039204	3	1947	8619	Body and Soul	NA
0039360	1	1947	1235	Exile, The	NA
0040724	0	1948	1320	Red River	NA
0040613	3	1948	2445	Mr. Blandings Builds His Dream House	NA
0156031	0	1948	1601	Rudolph the Red-Nosed Reindeer	NA
0040522	2	1948	6517	Bicycle Thieves	NA
0040897	0	1948	3239	Treasure of the Sierra Madre, The	98
0040321	3	1948	1241	Enchantment	NA
0040098	2	1948	1262	Anna Karenina	NA
0040308	3	1948	1677	Easter Parade	NA
0040458	3	1948	4390	I Remember Mama	NA
0040379	1	1948	2300	Fuller Brush Man, The	NA
0040558	1	1948	8264	Macbeth	NA
0040202	1	1948	5115	Call Northside 777	NA
0040214	1	1948	2256	Casbah	NA
